CustomerID,Segment
DK-13375,Consumer
JC-15340,Consumer
BW-11065,Consumer
KM-16720,Consumer
LE-16810,Consumer
CS-12505,Consumer
SV-20785,Consumer
MC-17575,Consumer
MM-17920,Consumer
BP-11230,Consumer
MC-18100,Consumer
RA-19915,Consumer
JD-16015,Consumer
EH-13990,Consumer
AI-10855,Consumer
IM-15055,Consumer
LC-17140,Consumer
AG-10270,Consumer
EB-14170,Consumer
AB-10105,Consumer
GM-14680,Consumer
KB-16315,Consumer
BS-11755,Consumer
CC-12220,Consumer
JL-15505,Consumer
MW-18220,Consumer
AF-10885,Consumer
DP-13000,Consumer
PG-18895,Consumer
BN-11515,Consumer
DB-13060,Consumer
LM-17065,Consumer
DB-13660,Consumer
AP-10915,Consumer
EH-14185,Consumer
VS-21820,Consumer
EJ-14155,Consumer
JG-15160,Consumer
PK-19075,Consumer
NR-18550,Consumer
CK-12595,Consumer
NP-18700,Consumer
DC-13285,Consumer
BM-11785,Consumer
RD-19720,Consumer
PB-19150,Consumer
EH-13945,Consumer
ST-20530,Consumer
MC-17275,Consumer
RD-19480,Consumer
DL-13315,Consumer
EJ-13720,Consumer
MM-17260,Consumer
DO-13435,Consumer
CS-12355,Consumer
JC-15775,Consumer
ND-18370,Consumer
LH-16900,Consumer
PG-18820,Consumer
BW-11200,Consumer
LF-17185,Consumer
LC-16885,Consumer
EB-13870,Consumer
TB-21400,Consumer
MM-18055,Consumer
RH-19495,Consumer
JL-15835,Consumer
JK-15625,Consumer
NC-18340,Consumer
DP-13165,Consumer
JO-15280,Consumer
LW-17125,Consumer
SC-20305,Consumer
LH-17155,Consumer
AJ-10960,Consumer
SF-20065,Consumer
KD-16345,Consumer
CK-12205,Consumer
MD-17350,Consumer
XP-21865,Consumer
NP-18325,Consumer
JF-15295,Consumer
AR-10510,Consumer
LC-17050,Consumer
RC-19960,Consumer
RF-19735,Consumer
BH-11710,Consumer
SH-20395,Consumer
NG-18430,Consumer
SG-20470,Consumer
CL-12565,Consumer
LW-17215,Consumer
JF-15190,Consumer
KT-16480,Consumer
SC-20095,Consumer
JF-15490,Consumer
LH-16750,Consumer
PM-18940,Consumer
KH-16360,Consumer
CS-12130,Consumer
MS-17770,Consumer
