OrderID,Order Date,Ship Date,Ship Mode,CustomerID,LocationID
CA-2014-100006,9/7/2014 0:00,9/13/2014 0:00,Standard Class,DK-13375,1
CA-2014-100328,1/28/2014 0:00,2/3/2014 0:00,Standard Class,JC-15340,1
CA-2014-100391,5/25/2014 0:00,5/29/2014 0:00,Standard Class,BW-11065,1
CA-2014-101364,12/22/2014 0:00,12/26/2014 0:00,Standard Class,TW-21025,1
CA-2014-102008,9/30/2014 0:00,10/4/2014 0:00,Standard Class,RA-19915,1
CA-2014-103219,11/9/2014 0:00,11/13/2014 0:00,Standard Class,BF-11215,1
CA-2014-105872,5/30/2014 0:00,6/6/2014 0:00,Standard Class,JG-15160,1
CA-2014-107454,11/2/2014 0:00,11/6/2014 0:00,Standard Class,RD-19720,1
CA-2014-107524,3/2/2014 0:00,3/8/2014 0:00,Standard Class,KN-16705,1
CA-2014-109855,9/1/2014 0:00,9/5/2014 0:00,Standard Class,LH-16900,1
CA-2014-110065,8/5/2014 0:00,8/11/2014 0:00,Standard Class,SP-20650,1
CA-2014-111773,6/29/2014 0:00,7/3/2014 0:00,Standard Class,JK-15625,1
CA-2014-113964,9/23/2014 0:00,9/30/2014 0:00,Standard Class,JP-16135,1
CA-2014-114517,12/23/2014 0:00,12/27/2014 0:00,Standard Class,TH-21235,1
CA-2014-119032,11/27/2014 0:00,12/3/2014 0:00,Standard Class,MS-17770,1
CA-2014-121573,11/3/2014 0:00,11/7/2014 0:00,Standard Class,SG-20605,1
CA-2014-124513,9/21/2014 0:00,9/25/2014 0:00,Standard Class,SL-20155,1
CA-2014-125612,8/3/2014 0:00,8/8/2014 0:00,Standard Class,BK-11260,1
CA-2014-127187,12/4/2014 0:00,12/8/2014 0:00,Standard Class,CP-12085,1
CA-2014-127691,7/22/2014 0:00,7/27/2014 0:00,Standard Class,EM-14065,1
CA-2014-127964,3/3/2014 0:00,3/8/2014 0:00,Standard Class,AP-10720,1
CA-2014-131800,12/30/2014 0:00,1/4/2015 0:00,Standard Class,AJ-10960,1
CA-2014-132227,11/4/2014 0:00,11/10/2014 0:00,Standard Class,SZ-20035,1
CA-2014-133305,7/11/2014 0:00,7/15/2014 0:00,Standard Class,MH-17455,1
CA-2014-137575,8/6/2014 0:00,8/11/2014 0:00,Standard Class,TB-21625,1
CA-2014-138100,9/15/2014 0:00,9/20/2014 0:00,Standard Class,AA-10315,1
CA-2014-140396,11/20/2014 0:00,11/25/2014 0:00,Standard Class,KH-16330,1
CA-2014-145212,9/13/2014 0:00,9/19/2014 0:00,Standard Class,DC-12850,1
CA-2014-145541,12/14/2014 0:00,12/21/2014 0:00,Standard Class,TB-21400,1
CA-2014-146640,6/30/2014 0:00,7/5/2014 0:00,Standard Class,HA-14905,1
CA-2014-146815,9/8/2014 0:00,9/13/2014 0:00,Standard Class,PP-18955,1
CA-2014-146864,12/22/2014 0:00,12/26/2014 0:00,Standard Class,BT-11530,1
CA-2014-147235,3/24/2014 0:00,3/28/2014 0:00,Standard Class,CD-11920,1
CA-2014-148488,12/10/2014 0:00,12/15/2014 0:00,Standard Class,SM-20005,1
CA-2014-148586,3/25/2014 0:00,4/1/2014 0:00,Standard Class,AZ-10750,1
CA-2014-151946,6/4/2014 0:00,6/9/2014 0:00,Standard Class,BT-11440,1
CA-2014-154641,8/11/2014 0:00,8/16/2014 0:00,Standard Class,KL-16645,1
CA-2014-156160,9/22/2014 0:00,9/29/2014 0:00,Standard Class,AS-10090,1
CA-2014-159478,9/30/2014 0:00,10/6/2014 0:00,Standard Class,MH-17785,1
CA-2014-163447,12/27/2014 0:00,12/31/2014 0:00,Standard Class,TB-21190,1
CA-2014-164973,11/4/2014 0:00,11/9/2014 0:00,Standard Class,NM-18445,1
CA-2014-166989,11/14/2014 0:00,11/18/2014 0:00,Standard Class,RM-19675,1
CA-2014-168473,12/26/2014 0:00,1/1/2015 0:00,Standard Class,TB-21520,1
CA-2015-100454,11/20/2015 0:00,11/25/2015 0:00,Standard Class,BM-11650,1
CA-2015-105361,3/29/2015 0:00,4/4/2015 0:00,Standard Class,CM-12115,1
CA-2015-105508,9/24/2015 0:00,9/29/2015 0:00,Standard Class,JF-15190,1
CA-2015-108588,1/5/2015 0:00,1/10/2015 0:00,Standard Class,BG-11695,1
CA-2015-108665,7/6/2015 0:00,7/10/2015 0:00,Standard Class,KM-16225,1
CA-2015-110667,4/4/2015 0:00,4/8/2015 0:00,Standard Class,NF-18595,1
CA-2015-111164,4/11/2015 0:00,4/15/2015 0:00,Standard Class,SE-20110,1
CA-2015-111458,9/26/2015 0:00,9/30/2015 0:00,Standard Class,PF-19165,1
CA-2015-113145,11/1/2015 0:00,11/5/2015 0:00,Standard Class,VD-21670,1
CA-2015-113152,12/25/2015 0:00,12/30/2015 0:00,Standard Class,JK-15625,1
CA-2015-116512,4/9/2015 0:00,4/14/2015 0:00,Standard Class,MC-18100,1
CA-2015-118227,4/24/2015 0:00,4/28/2015 0:00,Standard Class,DB-13270,1
CA-2015-120810,7/23/2015 0:00,7/27/2015 0:00,Standard Class,TH-21550,1
CA-2015-124268,7/4/2015 0:00,7/8/2015 0:00,Standard Class,AD-10180,1
CA-2015-128013,8/9/2015 0:00,8/16/2015 0:00,Standard Class,MF-18250,1
CA-2015-129854,8/22/2015 0:00,8/26/2015 0:00,Standard Class,RB-19705,1
CA-2015-130855,12/29/2015 0:00,1/5/2016 0:00,Standard Class,RF-19840,1
CA-2015-130995,11/1/2015 0:00,11/6/2015 0:00,Standard Class,QJ-19255,1
CA-2015-132276,2/23/2015 0:00,2/28/2015 0:00,Standard Class,LC-16960,1
